< text8.txt
? srlxnt
? rlxntf
? lxntff
? xntffk
? ntffkn
? tffknw
? ffknwx
? fknwxc
? knwxcn
? nwxcnb
? wxcnbe
? xcnbep
? cnbepr
? nbeprr
? beprrh
? eprrhy
? prrhyo
? rrhyok
? rhyokz
? hyokzn
? yokznk
? okznkz
? kznkzz
? znkzzr
? nkzzrm
? kzzrmj
? zzrmjq
? zrmjqu
? rmjqub
? mjqubw
? jqubwt
? qubwta
? ubwtav
? bwtavt
? wtavtl
? tavtlu
? avtluq
? vtluqs
? tluqsa
? luqsac
? uqsacv
? qsacvc
? sacvct
? acvcts
? cvctsx
? vctsxo
? ctsxoh
? tsxoht
? sxohtf
? xohtfo
? ohtfow
? htfowj
? tfowjv
? fowjvw
? owjvwp
? wjvwpu
QUIT
